,camera_x,camera_y,camera_z,camera_yaw,camera_pitch,camera_roll,rgb_image,depth_image
0,-0.24224021969968218,-0.007996652791518968,0.0,-1.5131880703230397e-05,-4.632702923018734e-05,0.007208234677038918,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00000.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00000.png
1,-0.2418749815434531,-0.008013055277481177,0.0,-1.4608080430836763e-05,-4.472297114638316e-05,0.007266772357616554,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00001.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00001.png
2,-0.24149012394781977,-0.008030342485300386,0.0,-1.4055934213954385e-05,-4.3032138574813026e-05,0.007328464907235379,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00002.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00002.png
3,-0.24111431305254746,-0.008047226926532647,0.0,-1.3516559976966088e-05,-4.1380448074514016e-05,0.00738871758373119,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00003.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00003.png
4,-0.24070185003041364,-0.008065762167247898,0.0,-1.2924345915245373e-05,-3.9566984637277624e-05,0.007454858318126196,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00004.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00004.png
5,-0.240311956536358,-0.00808328711726054,0.0,-1.2364310293109011e-05,-3.78520911691346e-05,0.007517391189775742,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00005.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00005.png
6,-0.23996627411611932,-0.008098828066834632,0.0,-1.1867594127428836e-05,-3.633111694266453e-05,0.00757284246578112,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00006.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00006.png
7,-0.23956165672369306,-0.00811702239589061,0.0,-1.1285973058371122e-05,-3.4550192301881206e-05,0.00763775851801619,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00007.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00007.png
8,-0.23913841398664826,-0.008136058657963073,0.0,-1.0677324341677034e-05,-3.268654780901926e-05,0.007705675432703625,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00008.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00008.png
9,-0.23859018792400472,-0.008160723023679976,0.0,-9.888555007781337e-06,-3.0271444752768273e-05,0.007793667398887992,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00009.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00009.png
10,-0.23810924932752164,-0.008182366400294386,0.0,-9.196236732533522e-06,-2.8151717399234214e-05,0.007870877393114128,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00010.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00010.png
11,-0.23764711745393352,-0.008203168919915628,0.0,-8.530673922370942e-06,-2.6113959057140408e-05,0.007945083892307551,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00011.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00011.png
12,-0.23714286596873055,-0.008225873561781769,0.0,-7.804095642589524e-06,-2.388944519122651e-05,0.008026071321802672,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00012.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00012.png
13,-0.23666347394839654,-0.008247464812825185,0.0,-7.112993977483983e-06,-2.177360222407498e-05,0.008103083130371086,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00013.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00013.png
14,-0.2362499706477552,-0.008266093166844995,0.0,-6.5166097700636605e-06,-1.9947784710138405e-05,0.008169523605386819,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00014.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00014.png
15,-0.23583108049125073,-0.00828496859413034,0.0,-5.9122019661515e-06,-1.809744417315889e-05,0.008236842227542824,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00015.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00015.png
16,-0.2352694308308707,-0.008310283788052705,0.0,-5.101407612765182e-06,-1.5615335001831687e-05,0.008327123225410335,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00016.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00016.png
17,-0.23486985806778238,-0.008328298544497958,0.0,-4.524306150484707e-06,-1.3848682865181152e-05,0.00839136545779448,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00017.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00017.png
18,-0.2343587805558545,-0.008351346366731564,0.0,-3.785818774792313e-06,-1.1588044174843184e-05,0.008473551955855465,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00018.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00018.png
19,-0.23395320861200436,-0.008369640942772063,0.0,-3.199511140787167e-06,-9.793299414379208e-06,0.008538785526211344,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00019.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00019.png
20,-0.23341219576759187,-0.00839405145913801,0.0,-2.4170312856899793e-06,-7.398115152175943e-06,0.008625822400318612,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00020.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00020.png
21,-0.23296197942430055,-0.00841437086468343,0.0,-1.7655459895434463e-06,-5.403962611314371e-06,0.008698268296425308,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00021.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00021.png
22,-0.23255637161547627,-0.008432681353971329,0.0,-1.1783572543234026e-06,-3.606660721270752e-06,0.008763548640671156,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00022.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00022.png
23,-0.23216485091984676,-0.008450359842474827,0.0,-6.113334409172961e-07,-1.8711199343520998e-06,0.008826573039804117,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00023.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00023.png
24,-0.23172846531620797,-0.008470068693790203,0.0,2.0931263650747327e-08,6.406392006572265e-08,0.008896832574992472,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00024.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00024.png
25,-0.23111614591915577,-0.00849773220836671,0.0,9.085503322207492e-07,2.780790568472684e-06,0.008995441420405906,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00025.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00025.png
26,-0.23068259873397534,-0.008517327065250388,0.0,1.537287020625636e-06,4.705278815007586e-06,0.009065277352093034,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/rgb/frame00026.png,/home/maxferg/apps/mobile-robot-software/vision/assets/dataset/stage1/depth/frame00026.png
